depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,2M,2097152,1.0,1,0.005,42,0.8420948719255956,0.8420948719255956,0.8420948719255956,2.785830065743074,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,1.0,1,0.0075,42,0.8441489286886598,0.8441489286886598,0.8441489286886598,2.795263594065282,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,1.0,1,0.01,42,0.8443715215479843,0.8443715215479843,0.8443715215479843,2.7948552491382994,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,1.0,1,0.015,42,0.8342676027082523,0.8342676027082523,0.8342676027082523,2.7639745311524204,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p015_s42/result.json
12,2M,2097152,1.0,1,0.02,42,0.8424764389819769,0.8424764389819769,0.8424764389819769,2.7895377626587745,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p02_s42/result.json
12,2M,2097152,1.0,1,0.03,42,0.8460422722479538,0.8460422722479538,0.8460422722479538,2.801560961389845,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p03_s42/result.json
12,2M,2097152,1.0,1,0.04,42,0.842942855074253,0.842942855074253,0.842942855074253,2.791055618630266,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p04_s42/result.json
12,2M,2097152,1.15,1,0.005,42,0.8457181648717302,0.8457181648717302,0.8457181648717302,2.7990461399128046,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,1.15,1,0.0075,42,0.8440458925408865,0.8440458925408865,0.8440458925408865,2.793860343008117,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,1.15,1,0.01,42,0.8394781015734967,0.8394781015734967,0.8394781015734967,2.78081993369134,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,1.15,1,0.015,42,0.837693880685473,0.837693880685473,0.837693880685473,2.7734803210320376,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz2097152_lr0p015_s42/result.json
