depth,optimizer,batch_size,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path
12,adamw,8388608,8M,0.04,42,2.1391833154471183,2.197251213202836,7.177936525763774,405.0,405,771.2929992675781,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p04_s42/result.json
12,kl_shampoo,524288,512K,0.005,42,0.9213658264111754,0.9213658264111754,3.036395972407122,6480.0,6480,3320.0101823806763,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p005_s42/result.json
12,kl_shampoo,524288,512K,0.0075,42,1.1471297644777758,1.1996549406273624,3.9404412176161703,6480.0,6480,3310.1066217422485,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p0075_s42/result.json
12,kl_shampoo,524288,512K,0.01,42,1.0040601605294535,1.0040601605294535,3.306178094328277,6480.0,6480,3340.1610152721405,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p01_s42/result.json
12,kl_shampoo,524288,512K,0.015,42,1.4127964433814433,1.4127964433814433,4.641870504823387,6480.0,6480,3328.6512212753296,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p015_s42/result.json
12,kl_shampoo,524288,512K,0.02,42,1.3643797430510503,1.3643797430510503,4.468562553081257,6480.0,6480,3314.7653257846832,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p02_s42/result.json
12,kl_shampoo,524288,512K,0.03,42,2.4095677021885993,,,6480.0,6480,3162.4501900672913,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p03_s42/result.json
12,kl_shampoo,524288,512K,0.04,42,2.262691050251419,,,6480.0,6480,3177.5695436000824,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz524288_lr0p04_s42/result.json
12,kl_shampoo,2097152,2M,0.005,42,1.6042844142082588,1.645791606114344,5.399318676036758,1620.0,1620,1411.0464367866516,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz2097152_lr0p005_s42/result.json
12,kl_shampoo,2097152,2M,0.0075,42,1.1012958514099562,1.1012958514099562,3.6199616085358444,1620.0,1620,1419.3105416297913,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/kl_shampoo_bsz2097152_lr0p0075_s42/result.json
